"","lon","lat","HUNDRED_BLOCK","count","address"
"159",-122.8008242,49.1861189,"10100 152ND ST",107,"10100 152ND ST Surrey"
"160",-122.8284677,49.1765066,"96TH AVE / FRASER HWY",107,"96TH AVE / FRASER HWY Surrey"
"161",-122.8014026,49.1659895,"FRASER HWY / 152ND ST",107,"FRASER HWY / 152ND ST Surrey"
"162",-122.7981545,49.1853187,"10100 153RD ST",106,"10100 153RD ST Surrey"
"163",-122.8679969,49.1503182,"128TH ST / 82ND AVE",106,"128TH ST / 82ND AVE Surrey"
"164",-122.8536677,49.1929909,"13300 105TH AVE",106,"13300 105TH AVE Surrey"
"165",-122.8544082,49.1402496,"13300 76TH AVE",106,"13300 76TH AVE Surrey"
"166",-122.8679566,49.1338247,"128TH ST / 72ND AVE",105,"128TH ST / 72ND AVE Surrey"
"167",-122.8397462,49.1915131,"13800 104TH AVE",104,"13800 104TH AVE Surrey"
"168",-122.7791544,49.0456382,"2500 160TH ST",104,"2500 160TH ST Surrey"
"169",-122.8456819,49.1481481,"80TH AVE / KING GEORGE BLVD",104,"80TH AVE / KING GEORGE BLVD Surrey"
"170",-122.8008342,49.1839259,"10000 152ND ST",103,"10000 152ND ST Surrey"
"171",-122.8564469,49.1932476,"10500 132ND ST",103,"10500 132ND ST Surrey"
"172",-122.8591865,49.191459,"13100 104TH AVE",103,"13100 104TH AVE Surrey"
"173",-122.8399495,49.1855186,"13800 101ST AVE",103,"13800 101ST AVE Surrey"
"174",-122.8705052,49.1753314,"9500 127TH ST",103,"9500 127TH ST Surrey"
"175",-122.8402673,49.1806992,"13800 FRASER HWY",102,"13800 FRASER HWY Surrey"
"176",-122.8011784,49.1768821,"152ND ST / 96TH AVE",102,"152ND ST / 96TH AVE Surrey"
"177",-122.8457324,49.1521818,"8200 KING GEORGE BLVD",102,"8200 KING GEORGE BLVD Surrey"
"178",-122.8896462,49.1485343,"12000 80TH AVE",101,"12000 80TH AVE Surrey"
"179",-122.8026912,49.1932117,"15100 105TH AVE",101,"15100 105TH AVE Surrey"
"180",-122.7786683,49.0454921,"16000 24TH AVE",101,"16000 24TH AVE Surrey"
"181",-122.7791351,49.0434614,"2200 160TH ST",101,"2200 160TH ST Surrey"
"182",-122.734933,49.1187252,"64TH AVE / 176TH ST",101,"64TH AVE / 176TH ST Surrey"
"183",-122.7771723,49.1933631,"104TH AVE / 160TH ST",100,"104TH AVE / 160TH ST Surrey"
"184",-122.6826194,49.1148629,"19500 FRASER HWY",100,"19500 FRASER HWY Surrey"
"185",-122.8680695,49.1716982,"9300 128TH ST",100,"9300 128TH ST Surrey"
"186",-122.854058,49.1879819,"10200 133RD ST",99,"10200 133RD ST Surrey"
"187",-122.8449669,49.1407896,"13700 76TH AVE",99,"13700 76TH AVE Surrey"
"188",-122.8455282,49.1334851,"KING GEORGE BLVD / 72ND AVE",99,"KING GEORGE BLVD / 72ND AVE Surrey"
"189",-122.8786244,49.2043332,"11100 124TH ST",98,"11100 124TH ST Surrey"
"190",-122.8369325,49.1912172,"13900 104TH AVE",98,"13900 104TH AVE Surrey"
"191",-122.7409258,49.1036117,"17400 56TH AVE",98,"17400 56TH AVE Surrey"
"192",-122.8011739,49.1045154,"56TH AVE / 152ND ST",98,"56TH AVE / 152ND ST Surrey"
"193",-122.8563905,49.1576992,"8500 132ND ST",98,"8500 132ND ST Surrey"
"194",-122.8874428,49.1704279,"9200 121ST ST",98,"9200 121ST ST Surrey"
"195",-122.7978963,49.1940836,"10500 153RD ST",97,"10500 153RD ST Surrey"
"196",-122.8823843,49.155793,"12300 84TH AVE",97,"12300 84TH AVE Surrey"
"197",-122.8513335,49.1774023,"9600 134TH ST",96,"9600 134TH ST Surrey"
"198",-122.8413807,49.1808096,"9800 WHALLEY BLVD",96,"9800 WHALLEY BLVD Surrey"
"199",-122.8453711,49.1878884,"KING GEORGE BLVD / 102ND AVE",96,"KING GEORGE BLVD / 102ND AVE Surrey"
"200",-122.8104324,49.1841809,"14900 100TH AVE",95,"14900 100TH AVE Surrey"
"201",-122.7790105,49.157423,"160TH ST / FRASER HWY",95,"160TH ST / FRASER HWY Surrey"
"202",-122.6853872,49.119172,"6400 194TH ST",95,"6400 194TH ST Surrey"
"203",-122.8565479,49.1752663,"9500 132ND ST",95,"9500 132ND ST Surrey"
"204",-122.8454059,49.1842491,"KING GEORGE BLVD / 100TH AVE",95,"KING GEORGE BLVD / 100TH AVE Surrey"
"205",-122.8876673,49.1948247,"10600 SCOTT RD",94,"10600 SCOTT RD Surrey"
"206",-122.8679958,49.1554236,"128TH ST / 84TH AVE",94,"128TH ST / 84TH AVE Surrey"
"207",-122.8232639,49.1337855,"144TH ST / 72ND AVE",94,"144TH ST / 72ND AVE Surrey"
"208",-122.8567819,49.1445649,"7800 132ND ST",94,"7800 132ND ST Surrey"
"209",-122.8846963,49.1721445,"9300 122ND ST",94,"9300 122ND ST Surrey"
"210",-122.8010616,49.1191135,"64TH AVE / 152ND ST",93,"64TH AVE / 152ND ST Surrey"
"211",-122.854066,49.1360429,"13300 COMBER WAY",92,"13300 COMBER WAY Surrey"
"212",-122.7935746,49.1630841,"15500 FRASER HWY",92,"15500 FRASER HWY Surrey"
"213",-122.7346666,49.1380072,"FRASER HWY / 176TH ST",92,"FRASER HWY / 176TH ST Surrey"
"214",-122.8801156,49.2041957,"12300 PATTULLO PL",91,"12300 PATTULLO PL Surrey"
"215",-122.8673355,49.2062642,"12800 KING GEORGE BLVD",91,"12800 KING GEORGE BLVD Surrey"
"216",-122.842706,49.1915394,"13700 104TH AVE",91,"13700 104TH AVE Surrey"
"217",-122.8313633,49.1914663,"14100 104TH AVE",91,"14100 104TH AVE Surrey"
"218",-122.7565009,49.1163216,"6300 168TH ST",91,"6300 168TH ST Surrey"
"219",-122.8631007,49.1742537,"9400 PRINCE CHARLES BLVD",91,"9400 PRINCE CHARLES BLVD Surrey"
